機種名,メーカー,導入月,号機,タイプ
新世紀エヴァンゲリオン,ビスティ,2005年09月,5号機,RT
日本一の桃太郎CT5,ベルコ,2005年10月,5号機,ノーマル
日本一の桃太郎CT30,ベルコ,2005年12月,5号機,ノーマル、30Φ
サクラ大戦,エレコ,2005年10月,5号機,ノーマル
デビルマン「2005年」,エレコ,2005年10月,5号機,RT
ど根性ガエルS,ロデオ,2005年12月,5号機,RT
出ましたハクション大魔王,サミー,2005年11月,5号機,RT
美麗2,バルテック,2006年01月,5号機,ノーマル
はいさい潮姫,エレコ,2005年12月,5号機,ノーマル
信長の野望・天下創世R「2005年」,IGTジャパン,2005年12月,5号機,ノーマル
クラッシュバンディクーS,サミー,2006年02月,5号機,ノーマル
人造人間キカイダーK,平和,2006年02月,5号機,RT
平成カツヲ伝説,ヤーマ,2006年02月,5号機,ノーマル
ニューオアシス,パイオニア,2006年02月,5号機,ノーマル
キューティーハニー,エレコ,2006年02月,5号機,RT
ナースウィッチ小麦ちゃんマジカルて,JPS,2006年02月,5号機,RT
ゴルゴ13ザプロフェッショナル,平和,2006年03月,5号機,AT
ビーバップ,エレコ,2006年02月,5号機,RT
スーパーお父さん,SNKプレイモア,2006年04月,5号機,RT
ロックユークイーン,エレコ,2006年04月,5号機,RT
剣豪!武蔵,エレコ,2006年03月,5号機,RT
ボンバーマンビクトリー,サミー,2006年04月,5号機,RT
ウイニングレッド30,JPS,2006年04月,5号機,ノーマル、30Φ
ウイニングレッド,JPS,2006年04月,5号機,ノーマル
お庭deドン!,バルテック,2006年04月,5号機,RT
ゴールドシオ30,パイオニア,2006年05月,5号機,ノーマル、30Φ
ルーニー・テューンズ:バック・イン・アクション,オリンピア,2006年05月,5号機,RT
サンダーバードNEO,藤商事,2006年06月,5号機,RT
ザ・キング・オブ・ファイターズ,SNKプレイモア,2006年05月,5号機,RT
ロード・オブ・ザ・リング,ビスティ,2006年06月,5号機,ノーマル
ちゅら姫SUN,エレコ,2006年06月,5号機,ノーマル
大江戸漫遊記,ファースト,2006年07月,5号機,ノーマル
新造人間キャシャーン,JPS,2006年07月,5号機,AT、RT
花盛,SNKプレイモア,2006年07月,5号機,RT
じゃりン子チエ,バルテック,2006年07月,5号機,RT
電撃フランケン,エレコ,2006年07月,5号機,RT
ランブルローズ,KPE,2006年08月,5号機,ノーマル
クランキーコンドルX,エレコ,2006年08月,5号機,RT
逮捕しちゃうぞ,IGTジャパン,2006年08月,5号機,RT
球児,SNKプレイモア,2006年09月,5号機,RT
ブリチカ30,パイオニア,2006年09月,5号機,RT、30Φ
南国娘「2006年」,オリンピア,2006年09月,5号機,RT
竹中直人のパチスロ太閤記,ラスター,2006年09月,5号機,RT
大山鳴動漢みちスロ!,ラスター,2006年09月,5号機,RT
快盗天使ツインエンジェル,トリビー,2006年10月,5号機,RT
スロ原人,アビリット,2006年10月,5号機,RT
CSスロ原人,アビリット,2006年10月,5号機,RT
らくちん沖姫,エレコ,2006年09月,5号機,ノーマル
ホークIII30,JPS,2006年10月,5号機,RT、30Φ
